,Date,Day(Eng),Day(Nufi),Date (Jour-Mois-Annee),Date (yyyy-mm-dd),Nufi_Date,Nufi_Full_Date
18,August 19 2137,Monday,Nzîngū,19-08-2137,2137 August 19,"līē' 19, Mɑ̂ngà'nshì, Ngù' 2137","Nzîngū, līē' 19, Mɑ̂ngà'nshì, Ngù' 2137"
19,August 20 2137,Tuesday,Nzîsō,20-08-2137,2137 August 20,"līē' 20, Mɑ̂ngà'nshì, Ngù' 2137","Nzîsō, līē' 20, Mɑ̂ngà'nshì, Ngù' 2137"
20,August 21 2137,Wednesday,Nthʉ̂'kwɑ̀,21-08-2137,2137 August 21,"līē' 21, Mɑ̂ngà'nshì, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 21, Mɑ̂ngà'nshì, Ngù' 2137"
21,August 22 2137,Thursday,Nthʉ̂'ntāā,22-08-2137,2137 August 22,"līē' 22, Mɑ̂ngà'nshì, Ngù' 2137","Nthʉ̂'ntāā, līē' 22, Mɑ̂ngà'nshì, Ngù' 2137"
22,August 23 2137,Friday,Líé'nkwe',23-08-2137,2137 August 23,"līē' 23, Mɑ̂ngà'nshì, Ngù' 2137","Líé'nkwe', līē' 23, Mɑ̂ngà'nshì, Ngù' 2137"
23,August 24 2137,Saturday,Nkɑ́ɑ́tēē,24-08-2137,2137 August 24,"līē' 24, Mɑ̂ngà'nshì, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 24, Mɑ̂ngà'nshì, Ngù' 2137"
24,August 25 2137,Sunday,Nshwīe'ko,25-08-2137,2137 August 25,"līē' 25, Mɑ̂ngà'nshì, Ngù' 2137","Nshwīe'ko, līē' 25, Mɑ̂ngà'nshì, Ngù' 2137"
25,August 26 2137,Monday,Ncômntēē,26-08-2137,2137 August 26,"līē' 26, Mɑ̂ngà'nshì, Ngù' 2137","Ncômntēē, līē' 26, Mɑ̂ngà'nshì, Ngù' 2137"
26,August 27 2137,Tuesday,Nzîngū,27-08-2137,2137 August 27,"līē' 27, Mɑ̂ngà'nshì, Ngù' 2137","Nzîngū, līē' 27, Mɑ̂ngà'nshì, Ngù' 2137"
27,August 28 2137,Wednesday,Nzîsō,28-08-2137,2137 August 28,"līē' 28, Mɑ̂ngà'nshì, Ngù' 2137","Nzîsō, līē' 28, Mɑ̂ngà'nshì, Ngù' 2137"
28,August 29 2137,Thursday,Nthʉ̂'kwɑ̀,29-08-2137,2137 August 29,"līē' 29, Mɑ̂ngà'nshì, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 29, Mɑ̂ngà'nshì, Ngù' 2137"
29,August 30 2137,Friday,Nthʉ̂'ntāā,30-08-2137,2137 August 30,"līē' 30, Mɑ̂ngà'nshì, Ngù' 2137","Nthʉ̂'ntāā, līē' 30, Mɑ̂ngà'nshì, Ngù' 2137"
30,August 31 2137,Saturday,Líé'nkwe',31-08-2137,2137 August 31,"līē' 31, Mɑ̂ngà'nshì, Ngù' 2137","Líé'nkwe', līē' 31, Mɑ̂ngà'nshì, Ngù' 2137"
0,September 1 2137,Sunday,Nkɑ́ɑ́tēē,01-09-2137,2137 September 01,"Ntûmbhì līē', Kùkū', Ngù' 2137","Nkɑ́ɑ́tēē, Ntûmbhì līē', Kùkū', Ngù' 2137"
1,September 2 2137,Monday,Nshwīe'ko,02-09-2137,2137 September 02,"līē' 2, Kùkū', Ngù' 2137","Nshwīe'ko, līē' 2, Kùkū', Ngù' 2137"
2,September 3 2137,Tuesday,Ncômntēē,03-09-2137,2137 September 03,"līē' 3, Kùkū', Ngù' 2137","Ncômntēē, līē' 3, Kùkū', Ngù' 2137"
3,September 4 2137,Wednesday,Nzîngū,04-09-2137,2137 September 04,"līē' 4, Kùkū', Ngù' 2137","Nzîngū, līē' 4, Kùkū', Ngù' 2137"
4,September 5 2137,Thursday,Nzîsō,05-09-2137,2137 September 05,"līē' 5, Kùkū', Ngù' 2137","Nzîsō, līē' 5, Kùkū', Ngù' 2137"
5,September 6 2137,Friday,Nthʉ̂'kwɑ̀,06-09-2137,2137 September 06,"līē' 6, Kùkū', Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 6, Kùkū', Ngù' 2137"
6,September 7 2137,Saturday,Nthʉ̂'ntāā,07-09-2137,2137 September 07,"līē' 7, Kùkū', Ngù' 2137","Nthʉ̂'ntāā, līē' 7, Kùkū', Ngù' 2137"
7,September 8 2137,Sunday,Líé'nkwe',08-09-2137,2137 September 08,"līē' 8, Kùkū', Ngù' 2137","Líé'nkwe', līē' 8, Kùkū', Ngù' 2137"
8,September 9 2137,Monday,Nkɑ́ɑ́tēē,09-09-2137,2137 September 09,"līē' 9, Kùkū', Ngù' 2137","Nkɑ́ɑ́tēē, līē' 9, Kùkū', Ngù' 2137"
9,September 10 2137,Tuesday,Nshwīe'ko,10-09-2137,2137 September 10,"līē' 10, Kùkū', Ngù' 2137","Nshwīe'ko, līē' 10, Kùkū', Ngù' 2137"
10,September 11 2137,Wednesday,Ncômntēē,11-09-2137,2137 September 11,"līē' 11, Kùkū', Ngù' 2137","Ncômntēē, līē' 11, Kùkū', Ngù' 2137"
11,September 12 2137,Thursday,Nzîngū,12-09-2137,2137 September 12,"līē' 12, Kùkū', Ngù' 2137","Nzîngū, līē' 12, Kùkū', Ngù' 2137"
12,September 13 2137,Friday,Nzîsō,13-09-2137,2137 September 13,"līē' 13, Kùkū', Ngù' 2137","Nzîsō, līē' 13, Kùkū', Ngù' 2137"
13,September 14 2137,Saturday,Nthʉ̂'kwɑ̀,14-09-2137,2137 September 14,"līē' 14, Kùkū', Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 14, Kùkū', Ngù' 2137"
14,September 15 2137,Sunday,Nthʉ̂'ntāā,15-09-2137,2137 September 15,"līē' 15, Kùkū', Ngù' 2137","Nthʉ̂'ntāā, līē' 15, Kùkū', Ngù' 2137"
15,September 16 2137,Monday,Líé'nkwe',16-09-2137,2137 September 16,"līē' 16, Kùkū', Ngù' 2137","Líé'nkwe', līē' 16, Kùkū', Ngù' 2137"
16,September 17 2137,Tuesday,Nkɑ́ɑ́tēē,17-09-2137,2137 September 17,"līē' 17, Kùkū', Ngù' 2137","Nkɑ́ɑ́tēē, līē' 17, Kùkū', Ngù' 2137"
17,September 18 2137,Wednesday,Nshwīe'ko,18-09-2137,2137 September 18,"līē' 18, Kùkū', Ngù' 2137","Nshwīe'ko, līē' 18, Kùkū', Ngù' 2137"
18,September 19 2137,Thursday,Ncômntēē,19-09-2137,2137 September 19,"līē' 19, Kùkū', Ngù' 2137","Ncômntēē, līē' 19, Kùkū', Ngù' 2137"
19,September 20 2137,Friday,Nzîngū,20-09-2137,2137 September 20,"līē' 20, Kùkū', Ngù' 2137","Nzîngū, līē' 20, Kùkū', Ngù' 2137"
20,September 21 2137,Saturday,Nzîsō,21-09-2137,2137 September 21,"līē' 21, Kùkū', Ngù' 2137","Nzîsō, līē' 21, Kùkū', Ngù' 2137"
21,September 22 2137,Sunday,Nthʉ̂'kwɑ̀,22-09-2137,2137 September 22,"līē' 22, Kùkū', Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 22, Kùkū', Ngù' 2137"
22,September 23 2137,Monday,Nthʉ̂'ntāā,23-09-2137,2137 September 23,"līē' 23, Kùkū', Ngù' 2137","Nthʉ̂'ntāā, līē' 23, Kùkū', Ngù' 2137"
23,September 24 2137,Tuesday,Líé'nkwe',24-09-2137,2137 September 24,"līē' 24, Kùkū', Ngù' 2137","Líé'nkwe', līē' 24, Kùkū', Ngù' 2137"
24,September 25 2137,Wednesday,Nkɑ́ɑ́tēē,25-09-2137,2137 September 25,"līē' 25, Kùkū', Ngù' 2137","Nkɑ́ɑ́tēē, līē' 25, Kùkū', Ngù' 2137"
25,September 26 2137,Thursday,Nshwīe'ko,26-09-2137,2137 September 26,"līē' 26, Kùkū', Ngù' 2137","Nshwīe'ko, līē' 26, Kùkū', Ngù' 2137"
26,September 27 2137,Friday,Ncômntēē,27-09-2137,2137 September 27,"līē' 27, Kùkū', Ngù' 2137","Ncômntēē, līē' 27, Kùkū', Ngù' 2137"
27,September 28 2137,Saturday,Nzîngū,28-09-2137,2137 September 28,"līē' 28, Kùkū', Ngù' 2137","Nzîngū, līē' 28, Kùkū', Ngù' 2137"
28,September 29 2137,Sunday,Nzîsō,29-09-2137,2137 September 29,"līē' 29, Kùkū', Ngù' 2137","Nzîsō, līē' 29, Kùkū', Ngù' 2137"
29,September 30 2137,Monday,Nthʉ̂'kwɑ̀,30-09-2137,2137 September 30,"līē' 30, Kùkū', Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 30, Kùkū', Ngù' 2137"
0,October 1 2137,Tuesday,Nthʉ̂'ntāā,01-10-2137,2137 October 01,"Ntûmbhì līē', Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'ntāā, Ntûmbhì līē', Ndʉ̌'nzɑ̄, Ngù' 2137"
1,October 2 2137,Wednesday,Líé'nkwe',02-10-2137,2137 October 02,"līē' 2, Ndʉ̌'nzɑ̄, Ngù' 2137","Líé'nkwe', līē' 2, Ndʉ̌'nzɑ̄, Ngù' 2137"
2,October 3 2137,Thursday,Nkɑ́ɑ́tēē,03-10-2137,2137 October 03,"līē' 3, Ndʉ̌'nzɑ̄, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 3, Ndʉ̌'nzɑ̄, Ngù' 2137"
3,October 4 2137,Friday,Nshwīe'ko,04-10-2137,2137 October 04,"līē' 4, Ndʉ̌'nzɑ̄, Ngù' 2137","Nshwīe'ko, līē' 4, Ndʉ̌'nzɑ̄, Ngù' 2137"
4,October 5 2137,Saturday,Ncômntēē,05-10-2137,2137 October 05,"līē' 5, Ndʉ̌'nzɑ̄, Ngù' 2137","Ncômntēē, līē' 5, Ndʉ̌'nzɑ̄, Ngù' 2137"
5,October 6 2137,Sunday,Nzîngū,06-10-2137,2137 October 06,"līē' 6, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîngū, līē' 6, Ndʉ̌'nzɑ̄, Ngù' 2137"
6,October 7 2137,Monday,Nzîsō,07-10-2137,2137 October 07,"līē' 7, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîsō, līē' 7, Ndʉ̌'nzɑ̄, Ngù' 2137"
7,October 8 2137,Tuesday,Nthʉ̂'kwɑ̀,08-10-2137,2137 October 08,"līē' 8, Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 8, Ndʉ̌'nzɑ̄, Ngù' 2137"
8,October 9 2137,Wednesday,Nthʉ̂'ntāā,09-10-2137,2137 October 09,"līē' 9, Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'ntāā, līē' 9, Ndʉ̌'nzɑ̄, Ngù' 2137"
9,October 10 2137,Thursday,Líé'nkwe',10-10-2137,2137 October 10,"līē' 10, Ndʉ̌'nzɑ̄, Ngù' 2137","Líé'nkwe', līē' 10, Ndʉ̌'nzɑ̄, Ngù' 2137"
10,October 11 2137,Friday,Nkɑ́ɑ́tēē,11-10-2137,2137 October 11,"līē' 11, Ndʉ̌'nzɑ̄, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 11, Ndʉ̌'nzɑ̄, Ngù' 2137"
11,October 12 2137,Saturday,Nshwīe'ko,12-10-2137,2137 October 12,"līē' 12, Ndʉ̌'nzɑ̄, Ngù' 2137","Nshwīe'ko, līē' 12, Ndʉ̌'nzɑ̄, Ngù' 2137"
12,October 13 2137,Sunday,Ncômntēē,13-10-2137,2137 October 13,"līē' 13, Ndʉ̌'nzɑ̄, Ngù' 2137","Ncômntēē, līē' 13, Ndʉ̌'nzɑ̄, Ngù' 2137"
13,October 14 2137,Monday,Nzîngū,14-10-2137,2137 October 14,"līē' 14, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîngū, līē' 14, Ndʉ̌'nzɑ̄, Ngù' 2137"
14,October 15 2137,Tuesday,Nzîsō,15-10-2137,2137 October 15,"līē' 15, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîsō, līē' 15, Ndʉ̌'nzɑ̄, Ngù' 2137"
15,October 16 2137,Wednesday,Nthʉ̂'kwɑ̀,16-10-2137,2137 October 16,"līē' 16, Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 16, Ndʉ̌'nzɑ̄, Ngù' 2137"
16,October 17 2137,Thursday,Nthʉ̂'ntāā,17-10-2137,2137 October 17,"līē' 17, Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'ntāā, līē' 17, Ndʉ̌'nzɑ̄, Ngù' 2137"
17,October 18 2137,Friday,Líé'nkwe',18-10-2137,2137 October 18,"līē' 18, Ndʉ̌'nzɑ̄, Ngù' 2137","Líé'nkwe', līē' 18, Ndʉ̌'nzɑ̄, Ngù' 2137"
18,October 19 2137,Saturday,Nkɑ́ɑ́tēē,19-10-2137,2137 October 19,"līē' 19, Ndʉ̌'nzɑ̄, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 19, Ndʉ̌'nzɑ̄, Ngù' 2137"
19,October 20 2137,Sunday,Nshwīe'ko,20-10-2137,2137 October 20,"līē' 20, Ndʉ̌'nzɑ̄, Ngù' 2137","Nshwīe'ko, līē' 20, Ndʉ̌'nzɑ̄, Ngù' 2137"
20,October 21 2137,Monday,Ncômntēē,21-10-2137,2137 October 21,"līē' 21, Ndʉ̌'nzɑ̄, Ngù' 2137","Ncômntēē, līē' 21, Ndʉ̌'nzɑ̄, Ngù' 2137"
21,October 22 2137,Tuesday,Nzîngū,22-10-2137,2137 October 22,"līē' 22, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîngū, līē' 22, Ndʉ̌'nzɑ̄, Ngù' 2137"
22,October 23 2137,Wednesday,Nzîsō,23-10-2137,2137 October 23,"līē' 23, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîsō, līē' 23, Ndʉ̌'nzɑ̄, Ngù' 2137"
23,October 24 2137,Thursday,Nthʉ̂'kwɑ̀,24-10-2137,2137 October 24,"līē' 24, Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 24, Ndʉ̌'nzɑ̄, Ngù' 2137"
24,October 25 2137,Friday,Nthʉ̂'ntāā,25-10-2137,2137 October 25,"līē' 25, Ndʉ̌'nzɑ̄, Ngù' 2137","Nthʉ̂'ntāā, līē' 25, Ndʉ̌'nzɑ̄, Ngù' 2137"
25,October 26 2137,Saturday,Líé'nkwe',26-10-2137,2137 October 26,"līē' 26, Ndʉ̌'nzɑ̄, Ngù' 2137","Líé'nkwe', līē' 26, Ndʉ̌'nzɑ̄, Ngù' 2137"
26,October 27 2137,Sunday,Nkɑ́ɑ́tēē,27-10-2137,2137 October 27,"līē' 27, Ndʉ̌'nzɑ̄, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 27, Ndʉ̌'nzɑ̄, Ngù' 2137"
27,October 28 2137,Monday,Nshwīe'ko,28-10-2137,2137 October 28,"līē' 28, Ndʉ̌'nzɑ̄, Ngù' 2137","Nshwīe'ko, līē' 28, Ndʉ̌'nzɑ̄, Ngù' 2137"
28,October 29 2137,Tuesday,Ncômntēē,29-10-2137,2137 October 29,"līē' 29, Ndʉ̌'nzɑ̄, Ngù' 2137","Ncômntēē, līē' 29, Ndʉ̌'nzɑ̄, Ngù' 2137"
29,October 30 2137,Wednesday,Nzîngū,30-10-2137,2137 October 30,"līē' 30, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîngū, līē' 30, Ndʉ̌'nzɑ̄, Ngù' 2137"
30,October 31 2137,Thursday,Nzîsō,31-10-2137,2137 October 31,"līē' 31, Ndʉ̌'nzɑ̄, Ngù' 2137","Nzîsō, līē' 31, Ndʉ̌'nzɑ̄, Ngù' 2137"
0,November 1 2137,Friday,Nthʉ̂'kwɑ̀,01-11-2137,2137 November 01,"Ntûmbhì līē', Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'kwɑ̀, Ntûmbhì līē', Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
1,November 2 2137,Saturday,Nthʉ̂'ntāā,02-11-2137,2137 November 02,"līē' 2, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'ntāā, līē' 2, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
2,November 3 2137,Sunday,Líé'nkwe',03-11-2137,2137 November 03,"līē' 3, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Líé'nkwe', līē' 3, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
3,November 4 2137,Monday,Nkɑ́ɑ́tēē,04-11-2137,2137 November 04,"līē' 4, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 4, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
4,November 5 2137,Tuesday,Nshwīe'ko,05-11-2137,2137 November 05,"līē' 5, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nshwīe'ko, līē' 5, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
5,November 6 2137,Wednesday,Ncômntēē,06-11-2137,2137 November 06,"līē' 6, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Ncômntēē, līē' 6, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
6,November 7 2137,Thursday,Nzîngū,07-11-2137,2137 November 07,"līē' 7, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nzîngū, līē' 7, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
7,November 8 2137,Friday,Nzîsō,08-11-2137,2137 November 08,"līē' 8, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nzîsō, līē' 8, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
8,November 9 2137,Saturday,Nthʉ̂'kwɑ̀,09-11-2137,2137 November 09,"līē' 9, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 9, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
9,November 10 2137,Sunday,Nthʉ̂'ntāā,10-11-2137,2137 November 10,"līē' 10, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'ntāā, līē' 10, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
10,November 11 2137,Monday,Líé'nkwe',11-11-2137,2137 November 11,"līē' 11, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Líé'nkwe', līē' 11, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
11,November 12 2137,Tuesday,Nkɑ́ɑ́tēē,12-11-2137,2137 November 12,"līē' 12, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 12, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
12,November 13 2137,Wednesday,Nshwīe'ko,13-11-2137,2137 November 13,"līē' 13, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nshwīe'ko, līē' 13, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
13,November 14 2137,Thursday,Ncômntēē,14-11-2137,2137 November 14,"līē' 14, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Ncômntēē, līē' 14, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
14,November 15 2137,Friday,Nzîngū,15-11-2137,2137 November 15,"līē' 15, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nzîngū, līē' 15, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
15,November 16 2137,Saturday,Nzîsō,16-11-2137,2137 November 16,"līē' 16, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nzîsō, līē' 16, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
16,November 17 2137,Sunday,Nthʉ̂'kwɑ̀,17-11-2137,2137 November 17,"līē' 17, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 17, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
17,November 18 2137,Monday,Nthʉ̂'ntāā,18-11-2137,2137 November 18,"līē' 18, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'ntāā, līē' 18, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
18,November 19 2137,Tuesday,Líé'nkwe',19-11-2137,2137 November 19,"līē' 19, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Líé'nkwe', līē' 19, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
19,November 20 2137,Wednesday,Nkɑ́ɑ́tēē,20-11-2137,2137 November 20,"līē' 20, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 20, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
20,November 21 2137,Thursday,Nshwīe'ko,21-11-2137,2137 November 21,"līē' 21, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nshwīe'ko, līē' 21, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
21,November 22 2137,Friday,Ncômntēē,22-11-2137,2137 November 22,"līē' 22, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Ncômntēē, līē' 22, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
22,November 23 2137,Saturday,Nzîngū,23-11-2137,2137 November 23,"līē' 23, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nzîngū, līē' 23, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
23,November 24 2137,Sunday,Nzîsō,24-11-2137,2137 November 24,"līē' 24, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nzîsō, līē' 24, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
24,November 25 2137,Monday,Nthʉ̂'kwɑ̀,25-11-2137,2137 November 25,"līē' 25, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 25, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
25,November 26 2137,Tuesday,Nthʉ̂'ntāā,26-11-2137,2137 November 26,"līē' 26, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nthʉ̂'ntāā, līē' 26, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
26,November 27 2137,Wednesday,Líé'nkwe',27-11-2137,2137 November 27,"līē' 27, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Líé'nkwe', līē' 27, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
27,November 28 2137,Thursday,Nkɑ́ɑ́tēē,28-11-2137,2137 November 28,"līē' 28, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 28, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
28,November 29 2137,Friday,Nshwīe'ko,29-11-2137,2137 November 29,"līē' 29, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Nshwīe'ko, līē' 29, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
29,November 30 2137,Saturday,Ncômntēē,30-11-2137,2137 November 30,"līē' 30, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137","Ncômntēē, līē' 30, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 2137"
0,December 1 2137,Sunday,Nzîngū,01-12-2137,2137 December 01,"Ntûmbhì līē', Ncátmɑ̄ŋū, Ngù' 2137","Nzîngū, Ntûmbhì līē', Ncátmɑ̄ŋū, Ngù' 2137"
1,December 2 2137,Monday,Nzîsō,02-12-2137,2137 December 02,"līē' 2, Ncátmɑ̄ŋū, Ngù' 2137","Nzîsō, līē' 2, Ncátmɑ̄ŋū, Ngù' 2137"
2,December 3 2137,Tuesday,Nthʉ̂'kwɑ̀,03-12-2137,2137 December 03,"līē' 3, Ncátmɑ̄ŋū, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 3, Ncátmɑ̄ŋū, Ngù' 2137"
3,December 4 2137,Wednesday,Nthʉ̂'ntāā,04-12-2137,2137 December 04,"līē' 4, Ncátmɑ̄ŋū, Ngù' 2137","Nthʉ̂'ntāā, līē' 4, Ncátmɑ̄ŋū, Ngù' 2137"
4,December 5 2137,Thursday,Líé'nkwe',05-12-2137,2137 December 05,"līē' 5, Ncátmɑ̄ŋū, Ngù' 2137","Líé'nkwe', līē' 5, Ncátmɑ̄ŋū, Ngù' 2137"
5,December 6 2137,Friday,Nkɑ́ɑ́tēē,06-12-2137,2137 December 06,"līē' 6, Ncátmɑ̄ŋū, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 6, Ncátmɑ̄ŋū, Ngù' 2137"
6,December 7 2137,Saturday,Nshwīe'ko,07-12-2137,2137 December 07,"līē' 7, Ncátmɑ̄ŋū, Ngù' 2137","Nshwīe'ko, līē' 7, Ncátmɑ̄ŋū, Ngù' 2137"
7,December 8 2137,Sunday,Ncômntēē,08-12-2137,2137 December 08,"līē' 8, Ncátmɑ̄ŋū, Ngù' 2137","Ncômntēē, līē' 8, Ncátmɑ̄ŋū, Ngù' 2137"
8,December 9 2137,Monday,Nzîngū,09-12-2137,2137 December 09,"līē' 9, Ncátmɑ̄ŋū, Ngù' 2137","Nzîngū, līē' 9, Ncátmɑ̄ŋū, Ngù' 2137"
9,December 10 2137,Tuesday,Nzîsō,10-12-2137,2137 December 10,"līē' 10, Ncátmɑ̄ŋū, Ngù' 2137","Nzîsō, līē' 10, Ncátmɑ̄ŋū, Ngù' 2137"
10,December 11 2137,Wednesday,Nthʉ̂'kwɑ̀,11-12-2137,2137 December 11,"līē' 11, Ncátmɑ̄ŋū, Ngù' 2137","Nthʉ̂'kwɑ̀, līē' 11, Ncátmɑ̄ŋū, Ngù' 2137"
11,December 12 2137,Thursday,Nthʉ̂'ntāā,12-12-2137,2137 December 12,"līē' 12, Ncátmɑ̄ŋū, Ngù' 2137","Nthʉ̂'ntāā, līē' 12, Ncátmɑ̄ŋū, Ngù' 2137"
12,December 13 2137,Friday,Líé'nkwe',13-12-2137,2137 December 13,"līē' 13, Ncátmɑ̄ŋū, Ngù' 2137","Líé'nkwe', līē' 13, Ncátmɑ̄ŋū, Ngù' 2137"
13,December 14 2137,Saturday,Nkɑ́ɑ́tēē,14-12-2137,2137 December 14,"līē' 14, Ncátmɑ̄ŋū, Ngù' 2137","Nkɑ́ɑ́tēē, līē' 14, Ncátmɑ̄ŋū, Ngù' 2137"
14,December 15 2137,Sunday,Nshwīe'ko,15-12-2137,2137 December 15,"līē' 15, Ncátmɑ̄ŋū, Ngù' 2137","Nshwīe'ko, līē' 15, Ncátmɑ̄ŋū, Ngù' 2137"
15,December 16 2137,Monday,Ncômntēē,16-12-2137,2137 December 16,"līē' 16, Ncátmɑ̄ŋū, Ngù' 2137","Ncômntēē, līē' 16, Ncátmɑ̄ŋū, Ngù' 2137"
